,country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per501,per416_1,per416_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm,European_Region,political_affiliation,country_name_x,party_name_english,party_name_parlgov,country_name_short,country_name_y,party_name_short,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
0,11,Sweden,0,0,1944-09-17,194409,11220,communist party of sweden,SKP,20,117,0,1983.0,,,10.3,0,,15.0,230.0,1,41,,52.0,,0.0,,,9.6,1.9000000000000001,1.9000000000000001,0.0,1.9000000000000001,2018b,JN1LZH,Western_Europe,Left_wing,Sweden,Communist Party of Sweden [Hoglund],communist party of sweden,SWE,Sweden,SKP-H,Sveriges Kommunistiska Parti [Höglund],Sveriges Kommunistiska Parti [Hoglund],com,Communist/Socialist,1.2,1.4,3.0,3.3,,,,,,,,,35.0,2475.0,14.0
1,11,Sweden,0,0,1944-09-17,194409,11320,social democratic labour party,SAP,30,117,0,1983.0,,,46.5,0,,115.0,230.0,1,41,,90.0,,0.0,,,-37.800000000000004,3.3000000000000003,2.2,33.4,5.6000000000000005,2018b,CMR7F6,Western_Europe,Left_wing,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,Sweden,0,0,1944-09-17,194409,11420,people’s party,FP,40,117,0,1983.0,,,12.9,0,,26.0,230.0,1,41,,63.0,,0.0,,,9.5,3.2,6.4,14.3,1.6,2018b,Z6OL6C,Western_Europe,Left_wing,Sweden,People's Party,people’s party,SWE,Sweden,FP,Folkpartiet,Folkpartiet,lib,Liberal,6.2906,7.3062,2.8515,9.4643,11420.0,280.0,1752420.0,1503.0,3704.0,1604.0,7860.0,1604.0,35.0,892.0,6.0
3,11,Sweden,0,0,1944-09-17,194409,11620,right party,,60,117,0,1983.0,,,15.8,0,,39.0,230.0,1,41,,57.0,,0.0,,,28.0,1.8,22.8,10.6,0.0,2018b,YMKVN2,Western_Europe,Right_wing,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,Sweden,0,0,1944-09-17,194409,11810,agrarian party,,80,117,0,1983.0,,,13.6,0,,35.0,230.0,1,41,,21.0,42.857,0.0,,,23.81,0.0,19.048000000000002,0.0,4.7620000000000005,2018b,U4SCRD,Western_Europe,Other,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,Sweden,0,0,1948-09-19,194809,11220,communist party of sweden,SKP,20,117,0,1983.0,,,6.312,0,,8.0,230.0,1,10,,50.0,,0.0,,,-44.0,8.0,2.0,18.0,10.0,2018b,KU4SLH,Western_Europe,Left_wing,Sweden,Communist Party of Sweden [Hoglund],communist party of sweden,SWE,Sweden,SKP-H,Sveriges Kommunistiska Parti [Höglund],Sveriges Kommunistiska Parti [Hoglund],com,Communist/Socialist,1.2,1.4,3.0,3.3,,,,,,,,,35.0,2475.0,14.0
6,11,Sweden,0,0,1948-09-19,194809,11320,social democratic labour party,SAP,30,117,0,1983.0,,,46.132,0,,112.0,230.0,1,10,,120.0,,0.0,,,-33.4,6.7,5.8,20.8,1.7,2018b,SUX4JY,Western_Europe,Left_wing,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,Sweden,0,0,1948-09-19,194809,11420,people’s party,FP,40,117,0,1983.0,,,22.749,0,,57.0,230.0,1,10,,87.0,,0.0,,,22.900000000000002,2.3000000000000003,13.700000000000001,7.0,4.6000000000000005,2018b,RGU9EV,Western_Europe,Left_wing,Sweden,People's Party,people’s party,SWE,Sweden,FP,Folkpartiet,Folkpartiet,lib,Liberal,6.2906,7.3062,2.8515,9.4643,11420.0,280.0,1752420.0,1503.0,3704.0,1604.0,7860.0,1604.0,35.0,892.0,6.0
8,11,Sweden,0,0,1948-09-19,194809,11620,right party,,60,117,0,1983.0,,,12.343,0,,23.0,230.0,1,10,,34.0,,0.0,,,56.300000000000004,0.0,50.0,0.0,3.1,2018b,FU1SGP,Western_Europe,Right_wing,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,Sweden,0,0,1948-09-19,194809,11810,agrarian party,,80,117,0,1983.0,,,12.385,0,,30.0,230.0,1,10,,140.0,,0.0,,,-4.9,3.5,9.200000000000001,13.5,0.7000000000000001,2018b,H326HA,Western_Europe,Other,,,,,,,,,,,,,,,,,,,,,,,,,
